#t	AX1
0.0000	0.0
0.0639	0.3
0.0320	0.1
0.0479	0.2
0.0639	0.3
0.0799	0.3
0.0959	0.4
0.1119	0.5
0.1278	0.5
0.1438	0.6
0.1598	0.7
0.1758	0.7
0.1918	0.8
0.2077	0.8
0.2237	0.9
0.2397	1.0
0.2557	1.0
0.2717	1.1
0.2876	1.2
0.3036	1.2
0.3196	1.3
0.3356	1.4
0.3516	1.4
0.3675	1.5
0.3835	1.6
0.3995	1.6
0.4155	1.7
0.4315	1.8
0.4474	1.8
0.4634	1.9
0.4794	1.9
0.4954	2.0
0.5114	2.1
0.5273	2.1
0.5433	2.2
0.5593	2.3
0.5753	2.3
0.5913	2.4
0.6072	2.5
0.6232	2.5
0.6392	2.6
0.6552	2.6
0.6712	2.7
0.6871	2.8
0.7031	2.8
0.7191	2.9
0.7351	3.0
0.7511	3.0
0.7670	3.1
0.7830	3.1
0.7990	3.2
0.8150	3.3
0.8310	3.3
0.8469	3.4
0.8629	3.5
0.8789	3.5
0.8949	3.6
0.9109	3.6
0.9268	3.7
0.9428	3.8
0.9588	3.8
0.9748	3.9
0.9908	3.9
1.0067	4.0
1.0227	4.1
1.0387	4.1
1.0547	4.2
1.0707	4.2
1.0866	4.3
1.1026	4.4
1.1186	4.4
1.1346	4.5
1.1506	4.5
1.1665	4.6
1.1825	4.7
1.1985	4.7
1.2145	4.8
1.2305	4.8
1.2464	4.9
1.2624	4.9
1.2784	5.0
1.2944	5.1
1.3104	5.1
1.3263	5.2
1.3423	5.2
1.3583	5.3
1.3743	5.3
1.3903	5.4
1.4062	5.5
1.4222	5.5
1.4382	5.6
1.4542	5.6
1.4702	5.7
1.4861	5.7
1.5021	5.8
1.5181	5.8
1.5341	5.9
1.5501	5.9
1.5660	6.0
1.5820	6.1
1.5980	6.1
1.6140	6.2
1.6300	6.2
1.6459	6.3
1.6619	6.3
1.6779	6.4
1.6939	6.4
1.7099	6.5
1.7258	6.5
1.7418	6.6
1.7578	6.6
1.7738	6.7
1.7898	6.7
1.8057	6.8
1.8217	6.8
1.8377	6.9
1.8537	6.9
1.8697	7.0
1.8856	7.0
1.9016	7.1
1.9176	7.1
1.9336	7.2
1.9496	7.2
1.9655	7.3
1.9815	7.3
1.9975	7.3
2.0135	7.4
2.0295	7.4
2.0454	7.5
2.0614	7.5
2.0774	7.6
2.0934	7.6
2.1094	7.7
2.1253	7.7
2.1413	7.8
2.1573	7.8
2.1733	7.8
2.1893	7.9
2.2052	7.9
2.2212	8.0
2.2372	8.0
2.2532	8.0
2.2692	8.1
2.2851	8.1
2.3011	8.2
2.3171	8.2
2.3331	8.3
2.3491	8.3
2.3650	8.3
2.3810	8.4
2.3970	8.4
2.4130	8.4
2.4290	8.5
2.4449	8.5
2.4609	8.6
2.4769	8.6
2.4929	8.6
2.5089	8.7
2.5248	8.7
2.5408	8.7
2.5568	8.8
2.5728	8.8
2.5888	8.8
2.6047	8.9
2.6207	8.9
2.6367	8.9
2.6527	9.0
2.6687	9.0
2.6846	9.0
2.7006	9.1
2.7166	9.1
2.7326	9.1
2.7486	9.2
2.7645	9.2
2.7805	9.2
2.7965	9.3
2.8125	9.3
2.8285	9.3
2.8444	9.3
2.8604	9.4
2.8764	9.4
2.8924	9.4
2.9084	9.5
2.9243	9.5
2.9403	9.5
2.9563	9.5
2.9723	9.6
